sequence,ax,ay,az,gx,gy,gz
261,661,2158,-407,397,-438,333
262,581,2000,-422,175,-415,209
263,590,1862,-504,60,-406,235
264,687,1775,-543,7,-346,278
265,699,1648,-504,-84,-193,22
266,583,1496,-449,-208,16,-226
267,484,1346,-444,-274,195,-80
268,451,1270,-466,-217,289,120
269,485,1316,-470,-76,311,192
270,561,1443,-427,30,337,146
271,613,1542,-331,4,435,56
272,573,1503,-295,-175,598,58
273,443,1327,-333,-337,723,31
274,333,1176,-362,-330,745,86
275,301,1174,-325,-190,697,194
276,291,1294,-278,-79,644,161
277,240,1406,-295,-99,591,82
278,157,1446,-413,-151,474,78
279,137,1538,-449,-123,265,212
280,184,1699,-350,-191,88,136
281,103,1569,-209,-440,26,-52
282,-113,1139,-103,-718,2,23
283,-298,661,-94,-785,-135,60
284,-341,421,-88,-546,-418,-34
285,-217,478,-86,-169,-708,-171
286,-43,700,-138,142,-862,-279
287,108,857,-189,291,-868,-138
288,198,904,-385,330,-793,19
289,280,990,-562,430,-732,-27
290,399,1125,-491,530,-651,16
291,451,1114,-353,475,-466,123
292,380,885,-439,402,-264,58
293,351,847,-649,527,-153,-123
294,433,1174,-656,743,-87,-36
295,519,1484,-530,759,28,237
296,530,1488,-569,572,175,254
297,524,1476,-709,422,272,19
298,548,1685,-783,367,307,-116
299,635,1983,-778,238,334,70
300,717,2136,-711,-18,351,274
301,734,2121,-609,-338,338,85
302,687,2042,-473,-662,320,-299
303,598,1872,-318,-895,287,-395
304,553,1705,-208,-949,192,-273
305,628,1782,-196,-840,44,-411
306,773,2150,-248,-729,-50,-681
307,848,2592,-255,-753,-4,-794
308,867,2827,-211,-948,175,-478
309,805,2739,-151,-1179,388,-151
310,621,2446,-97,-1266,494,-311
311,466,2249,-58,-1154,455,-458
312,441,2370,-26,-906,344,-378
313,461,2690,-2,-675,242,-293
314,470,2973,9,-607,175,-158
315,453,3041,-2,-685,126,-10
316,443,2985,-35,-752,47,-8
317,454,2942,-80,-686,-80,-167
318,476,2867,-121,-501,-197,-160
319,520,2705,-168,-225,-260,121
320,595,2633,-233,109,-277,327
321,704,2785,-278,402,-260,300
322,778,2951,-288,545,-212,247
323,760,2896,-280,539,-148,238
324,682,2685,-289,513,-112,214
325,552,2443,-302,586,-150,133
326,472,2334,-319,765,-267,34
327,483,2397,-370,966,-433,-21
328,508,2536,-435,1092,-604,-133
329,520,2636,-502,1077,-727,-305
330,585,2699,-519,944,-775,-356
331,646,2617,-511,747,-740,-210
332,675,2436,-509,577,-650,-166
333,646,2308,-507,463,-522,-314
334,586,2157,-500,386,-380,-280
335,520,2011,-499,367,-244,-79
336,484,1978,-506,393,-132,46
337,487,2018,-497,429,-40,204
338,484,1965,-491,462,51,529
339,469,1938,-503,451,171,742
340,475,2007,-513,355,293,682
341,466,2018,-476,182,394,624
342,416,1892,-378,-41,468,743
343,337,1716,-369,-248,496,638
344,280,1597,-358,-375,452,353
345,264,1466,-298,-476,371,326
346,261,1327,-238,-549,281,336
