sequence,ax,ay,az,gx,gy,gz
336,2488,-1452,175,155,485,-4142
337,2498,-1428,152,134,380,-4133
338,2403,-1261,128,184,335,-4553
339,2270,-949,103,216,340,-5003
340,2197,-677,77,167,378,-4906
341,2057,-499,45,77,444,-4654
342,1692,-351,43,-1,494,-4889
343,1323,-151,67,-71,478,-5090
344,1156,-40,96,-116,405,-4422
345,1037,-55,106,-115,356,-3798
346,832,-114,114,-29,312,-3746
347,586,24,136,162,185,-3553
348,470,308,144,335,-7,-3138
349,410,597,152,359,-187,-2966
350,295,816,190,237,-327,-3028
351,210,896,240,75,-424,-2932
352,193,887,281,-20,-438,-2552
353,137,940,311,-12,-328,-2192
354,-92,1158,361,14,-114,-2066
355,-432,1397,448,-42,131,-1841
356,-799,1503,546,-198,373,-1373
357,-1165,1422,613,-373,588,-930
358,-1502,1288,675,-475,734,-631
359,-1705,1248,734,-494,781,-192
360,-1710,1188,765,-469,728,538
361,-1548,1057,741,-392,611,1281
362,-1307,902,671,-228,455,1972
363,-1060,844,593,-21,261,2446
364,-864,934,533,110,-6,2474
365,-635,944,454,107,-318,2417
366,-334,758,361,79,-584,2738
367,-15,520,285,142,-793,3130
368,301,367,205,300,-979,3251
369,618,359,163,479,-1094,3277
370,993,342,136,591,-1113,3604
371,1332,243,97,642,-1074,3967
372,1680,140,38,674,-1015,4017
373,2011,80,-1,676,-875,3958
374,2263,-5,-3,634,-593,3954
375,2345,-73,-18,583,-234,4040
376,2451,-148,-23,500,2,4067
377,2538,-160,-8,365,147,3908
378,2362,-180,40,182,402,3640
379,2086,-524,60,4,658,3916
380,2106,-1010,83,-3,614,4884
381,2349,-1171,142,75,361,4913
382,2320,-908,193,-1,216,3497
383,2240,-1081,216,-295,277,2715
384,2337,-1838,156,-454,343,4020
385,2455,-2252,150,-204,307,5052
386,2514,-1860,225,65,238,4083
387,2499,-1344,327,-84,240,2650
388,2447,-1283,342,-568,333,2612
389,2387,-1545,283,-983,504,3112
390,2353,-1790,304,-1149,728,3071
391,2289,-1858,443,-1145,942,2354
392,2218,-1942,591,-1107,1095,1842
393,2102,-2105,657,-972,1175,1825
394,1981,-2219,707,-688,1160,1728
395,1887,-2161,822,-334,1011,1275
396,1828,-1992,944,-51,736,661
397,1816,-1881,1003,93,363,213
398,1892,-1893,1018,169,-72,-252
399,2077,-1974,1004,251,-501,-899
400,2291,-2061,924,378,-856,-1702
401,2493,-2045,796,548,-1095,-2383
402,2728,-1938,685,716,-1204,-2715
403,2945,-1836,566,816,-1181,-2995
404,3063,-1729,467,815,-1039,-3506
405,3086,-1688,369,712,-814,-3846
406,3033,-1691,261,601,-555,-3899
407,2972,-1708,176,557,-303,-3847
408,2902,-1602,134,583,-89,-3969
409,2776,-1389,111,563,68,-4215
410,2633,-1285,58,455,156,-4281
411,2468,-1134,23,369,185,-4492
412,2264,-873,32,286,208,-4815
413,2011,-620,47,149,243,-4737
414,1825,-601,45,17,260,-4453
415,1801,-742,30,4,253,-4190
416,1798,-720,21,125,222,-4026
417,1636,-385,53,251,163,-4145
418,1395,78,78,192,101,-4312
419,1253,258,88,-71,52,-4232
420,1232,123,68,-315,60,-4027
421,1141,-18,64,-340,123,-3700
