sequence,ax,ay,az,gx,gy,gz
288,-217,155,453,220,-182,1053
289,-157,134,420,204,-154,713
290,-142,120,366,173,-169,468
291,-84,87,318,132,-218,298
292,-20,39,281,93,-278,67
293,-28,14,227,75,-337,-235
294,-86,9,168,69,-391,-490
295,-110,29,141,57,-417,-660
296,-118,43,137,37,-391,-841
297,-146,65,142,7,-304,-1070
298,-167,103,160,-32,-163,-1385
299,-308,136,171,-87,18,-1717
300,-531,153,202,-162,220,-1933
301,-751,164,267,-245,399,-2163
302,-1014,156,330,-330,523,-2497
303,-1350,154,393,-420,621,-2664
304,-1646,160,502,-477,719,-2628
305,-1937,135,621,-481,807,-2607
306,-2269,108,677,-452,880,-2465
307,-2557,134,681,-401,932,-2196
308,-2706,161,746,-341,942,-2140
309,-2844,222,873,-279,911,-2344
310,-3072,346,951,-194,881,-2518
311,-3247,490,986,-70,876,-2433
312,-3244,591,1063,50,841,-2320
313,-3331,703,1083,99,737,-2285
314,-3408,792,1082,79,630,-2148
315,-3409,828,1114,36,577,-2055
316,-3309,845,1098,-20,509,-2093
317,-3256,741,1086,-128,397,-2008
318,-3301,669,1049,-240,316,-1688
319,-3310,653,1031,-276,296,-1671
320,-3204,611,996,-273,273,-1859
321,-3061,511,946,-326,205,-1711
322,-3018,446,864,-392,88,-1358
323,-2949,426,834,-384,-40,-1323
324,-2809,482,837,-315,-127,-1494
325,-2652,539,848,-272,-166,-1523
326,-2600,528,850,-295,-185,-1311
327,-2729,397,785,-348,-201,-926
328,-3019,399,721,-319,-193,-726
329,-3206,854,703,-57,-118,-1431
330,-2880,994,979,378,41,-2489
331,-2634,1040,918,865,226,-1977
332,-2584,1198,535,1155,291,-168
333,-2484,1102,344,1103,130,1410
334,-2446,818,372,786,-225,2327
335,-2417,869,290,354,-541,2348
336,-2316,1033,357,-113,-662,1129
337,-2295,1054,483,-603,-583,350
338,-2380,969,578,-1056,-375,806
339,-2628,763,640,-1338,-136,1378
340,-2904,581,586,-1405,7,1385
341,-3099,448,575,-1348,-4,1177
342,-3213,298,653,-1210,-133,1272
343,-3281,153,756,-954,-290,1682
344,-3238,46,865,-572,-400,2062
345,-3238,1,944,-133,-440,2234
346,-3218,63,978,264,-419,2395
347,-3114,107,1020,560,-375,2487
348,-2976,121,1065,765,-328,2427
349,-3006,144,1058,959,-272,2341
350,-3119,203,1001,1192,-208,2487
351,-2990,271,991,1429,-164,2591
352,-2906,366,929,1619,-159,2486
353,-2799,502,866,1699,-176,2573
354,-2605,637,841,1662,-189,2619
